IN NO EVENT SHALL MOUNT SINAI HOSPITAL BE LIABLE TO ANY PARTY FOR DIRECT, INDIRECT, SPECIAL, INCIDENTAL, OR CONSEQUENTIAL
DAMAGES, INCLUDING LOST PROFITS, ARISING OUT OF THE USE OF THIS SOFTWARE AND ITS DOCUMENTATION, EVEN IF MOUNT SINAI HOSPITAL
HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGE.

MOUNT SINAI HOSPITAL SPECIFICALLY DISCLAIMS ANY IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS FOR A PARTICULAR PURPOSE.
THE SOFTWARE AND ACCOMPANYING DOCUMENTATION, IF ANY, PROVIDED HEREUNDER IS PROVIDED "AS IS". MOUNT SINAI HOSPITAL HAS NO
OBLIGATION TO PROVIDE MAINTENANCE, SUPPORT, UPDATES, ENHANCEMENTS, OR MODIFICATIONS.

Published research assisted by this document should cite the original publishing author, as well as:
In any articles making use of this data, please refer to:
Stark C, Breitkreutz BJ, Reguly T, Boucher L, Breitkreutz A, Tyers M. BioGRID: A General Repository for Interaction Datasets. Nucleic Acids Res. Jan1;34:D535-9.

This data is distributed for research purposes only, and is provided WITHOUT ANY WARRANTY.

----------------------------------------------------------------------------------------------------

Brief Description of the Columns: 

A.) INTERACTOR_A			Unique ID for Interacting Partner A
B.) INTERACTOR_B			Unique ID for Interacting Partner B
C.) OFFICIAL_SYMBOL_FOR_A
D.) OFFICIAL_SYMBOL_FOR_B
E.) ALIASES_FOR_A			List of common names for geneA, separated by '|'
F.) ALIASES_FOR_B			List of common names for geneB, separated by '|'
G.) EXPERIMENTAL_SYSTEM			System in which the interaction was shown
H.) SOURCE				Author/s of the interaction
I.) PUBMED_ID				PubMed_ID of the paper, separated by ';'
J.) ORGANISM_A_ID				NCBI ID of Gene A Organism
K.) ORGANISM_B_ID				NCBI ID of Gene B Organism

----------------------------------------------------------------------------------------------------
File Version: 2.0.56
----------------------------------------------------------------------------------------------------

INTERACTOR_A	INTERACTOR_B	OFFICIAL_SYMBOL_A	OFFICIAL_SYMBOL_B	ALIASES_FOR_A	ALIASES_FOR_B	EXPERIMENTAL_SYSTEM	SOURCE	PUBMED_ID	ORGANISM_A_ID	ORGANISM_B_ID
EG177427	EG188577	N/A	N/A	C01B10.3	T18D3.7	Two-hybrid	Li S (2004)	14704431	6239	6239
EG177429	EG187543	N/A	N/A	C01B10.4	R03G5.6	Two-hybrid	Li S (2004)	14704431	6239	6239
EG177429	EG187804	N/A	N/A	C01B10.4	R11D1.3	Two-hybrid	Li S (2004)	14704431	6239	6239
EG177431	EG182211	N/A	N/A	C01B10.8	C04E12.6	Two-hybrid	Li S (2004)	14704431	6239	6239
EG177431	EG192006	N/A	str-131	C01B10.8	C09H5.6	Two-hybrid	Li S (2004)	14704431	6239	6239
EG177431	EG176149	N/A	N/A	C01B10.8	C14B9.8	Two-hybrid	Li S (2004)	14704431	6239	6239
EG177431	EG182619	N/A	N/A	C01B10.8	C14F11.4	Two-hybrid	Li S (2004)	14704431	6239	6239
EG177431	EG172768	N/A	pab-3	C01B10.8	C17E4.5	Two-hybrid	Li S (2004)	14704431	6239	6239
EG177431	EG180735	N/A	N/A	C01B10.8	C46C11.3	Two-hybrid	Li S (2004)	14704431	6239	6239
EG177431	EG183755	N/A	N/A	C01B10.8	C53C11.2	Two-hybrid	Li S (2004)	14704431	6239	6239
EG177431	EG185800	N/A	lipase	C01B10.8	F45E6.4	Two-hybrid	Li S (2004)	14704431	6239	6239
EG177431	EG185827	N/A	N/A	C01B10.8	F46A9.2	Two-hybrid	Li S (2004)	14704431	6239	6239
EG177431	EG175696	N/A	dpy-17	C01B10.8	F54D8.1	Two-hybrid	Li S (2004)	14704431	6239	6239
EG177431	EG186563	N/A	N/A	C01B10.8	F59A1.11	Two-hybrid	Li S (2004)	14704431	6239	6239
EG177431	EG186872	N/A	N/A	C01B10.8	K02D3.1	Two-hybrid	Li S (2004)	14704431	6239	6239
EG177431	EG173496	N/A	N/A	C01B10.8	T13B5.8	Two-hybrid	Li S (2004)	14704431	6239	6239
EG177431	EG177162	N/A	wrt-5	C01B10.8	W03D2.5	Two-hybrid	Li S (2004)	14704431	6239	6239
EG177431	EG180852	N/A	N/A	C01B10.8	W06B11.1	Two-hybrid	Li S (2004)	14704431	6239	6239
EG177431	EG189281	N/A	N/A	C01B10.8	W07G1.5	Two-hybrid	Li S (2004)	14704431	6239	6239
EG177431	EG173436	N/A	N/A	C01B10.8	W10D9.5	Two-hybrid	Li S (2004)	14704431	6239	6239
EG177431	EG180324	N/A	psa-1	C01B10.8	Y113G7B.23	Two-hybrid	Li S (2004)	14704431	6239	6239
EG177431	EG190381	N/A	N/A	C01B10.8	Y58A7A.1	Two-hybrid	Li S (2004)	14704431	6239	6239
EG177431	EG174464	N/A	pqn-95	C01B10.8	ZK1067.7	Two-hybrid	Li S (2004)	14704431	6239	6239
EG177431	EG191687	N/A	ins-6	C01B10.8	ZK84.6	Two-hybrid	Li S (2004)	14704431	6239	6239
EG177732	EG179737	N/A	N/A	C01F6.2	K10C8.3	Two-hybrid	Li S (2004)	14704431	6239	6239
EG177732	EG172948	N/A	lst-1	C01F6.2	T22A3.3	Two-hybrid	Li S (2004)	14704431	6239	6239
EG177732	EG179051	N/A	N/A	C01F6.2	ZK1055.7	Two-hybrid	Li S (2004)	14704431	6239	6239
EG177415	F54B11.3	N/A	unc-84	C01G5.8	N/A	Two-hybrid	Li S (2004)	14704431	6239	6239
EG177415	EG266820	N/A	smo-1	C01G5.8	K12C11.2	Two-hybrid	Li S (2004)	14704431	6239	6239
C01G8.5	C01F6.6	erm-1	tag-60	N/A	N/A	Two-hybrid	Li S (2004)	14704431	6239	6239
C01G8.5	EG180653	erm-1	C18B2.5	N/A	N/A	Two-hybrid	Li S (2004)	14704431	6239	6239
C01G8.5	EG175638	erm-1	pal-1	N/A	C38D4.6	Two-hybrid	Li S (2004)	14704431	6239	6239
C01G8.5	EG186460	erm-1	N/A	N/A	F57G4.5	Two-hybrid	Li S (2004)	14704431	6239	6239
C01G8.5	EG180947	erm-1	asp-3	N/A	H22K11.1	Two-hybrid	Li S (2004)	14704431	6239	6239
C01G8.5	EG176453	erm-1	N/A	N/A	T07C4.1	Two-hybrid	Li S (2004)	14704431	6239	6239
EG178771	EG179138	gst-33	ftn-1	C02A12.1	C54F6.14	Two-hybrid	Li S (2004)	14704431	6239	6239
EG178771	EG171934	gst-33	ferritin	C02A12.1	D1037.3	Two-hybrid	Li S (2004)	14704431	6239	6239
EG178771	EG173321	gst-33	bath-40	C02A12.1	Y105E8B.4	Two-hybrid	Li S (2004)	14704431	6239	6239
EG176164	EG176613	knl-1	rsp-8	C02F5.1	C18D11.4	Two-hybrid	Li S (2004)	14704431	6239	6239
EG176164	EG180781	knl-1	vitellogenin	C02F5.1	C42D8.2	Two-hybrid	Li S (2004)	14704431	6239	6239
